Disposition Quarter,No new criminal case within 2 years,New criminal case within 2 years,Total,Percent with new criminal case within 2 years
2017 Q1,46,13,59,22.03389831
2017 Q2,44,16,60,26.66666667
2017 Q3,33,7,40,17.5
2017 Q4,25,21,46,45.65217391
2018 Q1,39,9,48,18.75
2018 Q2,25,21,46,45.65217391
2018 Q3,51,13,64,20.3125
2018 Q4,27,14,41,34.14634146
2019 Q1,22,10,32,31.25
