Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,663,245,314,6,27,1434
2021,843,311,303,8,50,1737
2022,821,343,359,11,32,1538
2023,974,365,291,12,15,1356
2024,797,346,260,6,47,1311
2025,795,337,244,15,58,1354
