Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,105,78,99,2,7,523
2021,140,73,113,5,8,490
2022,157,66,119,7,13,478
2023,151,55,91,4,15,358
2024,138,71,84,6,8,367
2025,96,42,108,3,15,311
