Filing Quarter,Number of violent cases filed per quarter
2017 Q1,140
2017 Q2,165
2017 Q3,159
2017 Q4,196
2018 Q1,177
2018 Q2,200
2018 Q3,213
2018 Q4,195
2019 Q1,209
2019 Q2,192
2019 Q3,217
2019 Q4,187
2020 Q1,178
2020 Q2,234
2020 Q3,202
2020 Q4,189
2021 Q1,200
2021 Q2,192
2021 Q3,225
2021 Q4,214
2022 Q1,173
2022 Q2,207
2022 Q3,206
2022 Q4,224
2023 Q1,203
2023 Q2,213
2023 Q3,219
2023 Q4,204
2024 Q1,203
2024 Q2,209
2024 Q3,211
2024 Q4,196
2025 Q1,238
2025 Q2,189
