,Felony,Misdemeanor,Violent offense
Filings 2021,4119,20783,751
Change since 2020,-12.90,-1.70,3.00
,,,
Filings Quarter 3 2022,1054,4831,181
Change since Quarter 3 2021,-2.4,4,-12.5
