Disposition Year,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2017.0,97.0,32.0,1.0,30.0,4.0,45.0
2018.0,99.0,21.0,1.0,25.0,5.0,94.0
2019.0,86.0,44.0,0.0,31.0,0.0,87.0
2020.0,61.0,35.0,3.0,19.0,0.0,43.0
2021.0,51.0,32.0,0.0,22.0,0.0,59.0
2022.0,36.0,26.0,1.0,28.0,0.0,46.0
2023.0,13.0,6.0,1.0,5.0,0.0,12.0
