Disposition Year,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2020,60,35,3,18,0,41
2021,53,32,0,22,0,59
2022,35,27,1,30,0,50
2023,49,22,2,26,0,55
2024,30,13,0,21,0,52
2025,26,12,0,15,2,65
