Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail
2020,105,26,288,140,46
2021,176,28,348,124,42
2022,151,46,306,142,41
2023,87,60,346,122,56
2024,73,102,343,148,58
2025,81,106,293,95,70
