,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,277,133,328,107,75,15,4,65
Change since 2024,9.920634921,3.100775194,-14.36031332,-33.54037267,29.31034483,-28.57142857,300,22.64150943
