Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Actual Percent of felony defendants with new case filed within 1 year,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,3,20,23,13.04347826,24.16879795,16,93,109,14.67889908
2017 Q2,6,11,17,35.29411765,21.66808752,17,99,116,14.65517241
2017 Q3,4,20,24,16.66666667,23.20261438,19,95,114,16.66666667
2017 Q4,6,28,34,17.64705882,17.610748,25,89,114,21.92982456
2018 Q1,5,22,27,18.51851852,24.05519245,17,115,132,12.87878788
2018 Q2,9,16,25,36,25.8651472,22,108,130,16.92307692
2018 Q3,3,10,13,23.07692308,27.31135531,16,82,98,16.32653061
2018 Q4,8,27,35,22.85714286,25.8376711,18,89,107,16.82242991
2019 Q1,6,13,19,31.57894737,30.14536341,19,94,113,16.81415929
2019 Q2,9,16,25,36,29.9337232,22,89,111,19.81981982
2019 Q3,4,14,18,22.22222222,21.97150997,16,98,114,14.03508772
2019 Q4,2,24,26,7.692307692,9.971509972,20,82,102,19.60784314
2020 Q1,0,20,20,0,7.564102564,8,73,81,9.87654321
2020 Q2,3,17,20,15,12.84313725,8,59,67,11.94029851
2020 Q3,4,13,17,23.52941176,26.17647059,19,72,91,20.87912088
2020 Q4,2,3,5,40,24.88017429,13,75,88,14.77272727
2021 Q1,1,8,9,11.11111111,22.16524217,11,71,82,13.41463415
2021 Q2,2,11,13,15.38461538,12.75347746,15,85,100,15
2021 Q3,2,15,17,11.76470588,11.27199598,15,72,87,17.24137931
2021 Q4,1,14,15,6.666666667,11.69934641,25,105,130,19.23076923
2022 Q1,2,10,12,16.66666667,15.18518519,14,76,90,15.55555556
2022 Q2,2,7,9,22.22222222,22.96296296,11,105,116,9.482758621
2022 Q3,3,7,10,30,34.07407407,16,74,90,17.77777778
2023 Q4,2,2,4,50,36.47058824,12,58,70,17.14285714
2023 Q1,5,12,17,29.41176471,34.80392157,24,66,90,26.66666667
2023 Q2,3,9,12,25,20.91503268,23,88,111,20.72072072
2023 Q3,1,11,12,8.333333333,11.11111111,16,82,98,16.32653061
2023 Q4,0,9,9,0,2.777777778,21,90,111,18.91891892
2024 Q1,0,11,11,0,5.555555556,27,80,107,25.23364486
2024 Q2,2,10,12,16.66666667,5.555555556,21,69,90,23.33333333
2025 Q3,0,3,3,0,12.22222222,27,94,121,22.31404959
2025 Q4,1,4,5,20,10,24,49,73,32.87671233
