,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,2225,93,905,214,53,16,3,57
Change since 2024,2.345906164,0,12.56218905,-4.035874439,-13.1147541,-42.85714286,-40,39.02439024
