Disposition Year,Credit for time served,Probation,Probation plus jail,Jail,Community Corrections,Youth Corrections,Prison
2017.0,6.0,80.0,64.0,6.0,23.0,2.0,58.0
2018.0,3.0,89.0,48.0,7.0,33.0,1.0,66.0
2019.0,2.0,92.0,58.0,9.0,28.0,1.0,82.0
2020.0,1.0,69.0,43.0,5.0,11.0,0.0,73.0
2021.0,1.0,89.0,47.0,11.0,21.0,0.0,92.0
2022.0,3.0,83.0,43.0,1.0,13.0,1.0,106.0
2023.0,1.0,11.0,5.0,1.0,6.0,0.0,30.0
