Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail,Youth Corrections
2019,406,114,793,317,99,6
2020,449,54,625,149,50,0
2021,700,75,754,190,83,0
2022,583,99,870,242,57,0
2023,728,62,858,220,64,3
2024,173,10,169,52,18,0
