Filing Quarter,Number of violent cases filed involving a child victim
2017 Q1,19
2017 Q2,22
2017 Q3,25
2017 Q4,29
2018 Q1,19
2018 Q2,16
2018 Q3,25
2018 Q4,33
2019 Q1,23
2019 Q2,29
2019 Q3,23
2019 Q4,30
2020 Q1,34
2020 Q2,27
2020 Q3,22
2020 Q4,26
2021 Q1,22
2021 Q2,23
2021 Q3,27
2021 Q4,17
2022 Q1,21
2022 Q2,27
2022 Q3,29
2022 Q4,24
2023 Q1,29
2023 Q2,48
2023 Q3,28
2023 Q4,28
2024 Q1,26
