Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
2017,3000,38,53,1,26,3128,31
2018,3306,31,107,3,24,3077,36
2019,3638,64,12,2,24,3071,35
2020,3381,80,7,3,23,2328,32
2021,3362,66,3,3,19,2807,35
2022,3305,69,8,7,14,2856,23
2023,3377,45,7,2,19,3002,26
2024,3855,61,51,2,32,3123,38
2025,5231,65,90,1,28,1731,33
