Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,1121.0,15.0,1.0,1137.0,1.319261214,337.0,543.0,880.0,38.29545455
2017 Q2,1057.0,9.0,0.0,1066.0,0.844277674,391.0,584.0,975.0,40.1025641
2017 Q3,1176.0,18.0,0.0,1194.0,1.507537688,411.0,495.0,906.0,45.36423841
2017 Q4,1017.0,19.0,0.0,1036.0,1.833976834,388.0,571.0,959.0,40.45881126
2018 Q1,1248.0,26.0,0.0,1274.0,2.040816327,383.0,590.0,973.0,39.36279548
2018 Q2,1287.0,14.0,2.0,1303.0,1.074443592,452.0,605.0,1057.0,42.76253548
2018 Q3,1371.0,25.0,0.0,1396.0,1.790830946,440.0,572.0,1012.0,43.47826087
2018 Q4,1145.0,13.0,0.0,1158.0,1.122625216,481.0,606.0,1087.0,44.25022999
2019 Q1,1232.0,15.0,0.0,1247.0,1.202886929,539.0,644.0,1183.0,45.56213018
2019 Q2,1148.0,24.0,0.0,1172.0,2.04778157,482.0,589.0,1071.0,45.00466853
2019 Q3,1129.0,28.0,0.0,1157.0,2.420051858,473.0,536.0,1009.0,46.87809713
2019 Q4,1115.0,18.0,0.0,1133.0,1.58870256,455.0,462.0,917.0,49.61832061
2020 Q1,1206.0,31.0,0.0,1237.0,2.506063056,453.0,449.0,902.0,50.22172949
2020 Q2,1068.0,21.0,0.0,1089.0,1.928374656,215.0,221.0,436.0,49.31192661
2020 Q3,858.0,11.0,0.0,869.0,1.265822785,321.0,338.0,659.0,48.71016692
2020 Q4,850.0,13.0,0.0,863.0,1.506373117,293.0,315.0,608.0,48.19078947
2021 Q1,767.0,27.0,0.0,794.0,3.400503778,314.0,390.0,704.0,44.60227273
2021 Q2,823.0,32.0,0.0,855.0,3.742690058,307.0,419.0,726.0,42.28650138
2021 Q3,842.0,38.0,0.0,880.0,4.318181818,372.0,386.0,758.0,49.07651715
2021 Q4,833.0,25.0,0.0,858.0,2.913752914,278.0,401.0,679.0,40.94256259
2022 Q1,1008.0,27.0,0.0,1035.0,2.608695652,288.0,390.0,678.0,42.47787611
2022 Q2,772.0,33.0,0.0,805.0,4.099378882,285.0,432.0,717.0,39.74895397
2022 Q3,780.0,46.0,1.0,828.0,5.555555556,296.0,398.0,694.0,42.65129683
2022 Q4,786.0,42.0,0.0,828.0,5.072463768,263.0,379.0,642.0,40.96573209
2023 Q1,782.0,39.0,1.0,822.0,4.744525547,259.0,369.0,628.0,41.24203822
