Filing Quarter,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,34.6923,28.5556
2017 Q2,61.2667,42.9091
2017 Q3,60.5714,51.5
2017 Q4,47.6875,51.9167
2018 Q1,48.25,53.9091
2018 Q2,56.6429,55.3636
2018 Q3,56.7333,66
2018 Q4,51.3333,55.4167
2019 Q1,56.1333,55.6667
2019 Q2,46.6875,50.7857
2019 Q3,65.7143,71.6364
2019 Q4,60.5385,64.1818
2020 Q1,60.75,61.4167
2020 Q2,75.5455,62.1111
2020 Q3,96,74.1
2020 Q4,95.3,73.9
2021 Q1,100.1111,100
2021 Q2,81.6364,90.75
2021 Q3,79.1667,80.625
2021 Q4,69.5833,65.2222
2022 Q1,69.6,67.4444
2022 Q2,75.3333,98.7143
2022 Q3,73.9,127.2
2022 Q4,74.8889,86.75
2023 Q1,79.1111,102
2023 Q2,80.75,102.4286
2023 Q3,102.375,85.875
2023 Q4,92.2222,101.1429
2024 Q1,100.2222,88.5
2024 Q2,90.875,107
2024 Q3,115.625,93
2024 Q4,117.1667,110.2857
