Disposition Quarter,No new criminal case within 2 years,New criminal case within 2 years,Total,Percent with new criminal case within 2 years
2017 Q1,2,14,16,87.5
2017 Q2,7,16,23,69.56521739
2017 Q3,6,17,23,73.91304348
2017 Q4,5,22,27,81.48148148
2018 Q1,2,17,19,89.47368421
2018 Q2,4,15,19,78.94736842
