Disposition Quarter,Successful,Not Successful,Total Cases
2017 Q1,16,3,19
2017 Q2,23,2,25
2017 Q3,23,0,23
2017 Q4,27,1,28
2018 Q1,19,0,19
2018 Q2,19,0,19
2018 Q3,12,2,14
2018 Q4,25,3,28
2019 Q1,18,0,18
2019 Q2,14,2,16
2019 Q3,18,1,19
2019 Q4,16,1,17
2020 Q1,20,1,21
2020 Q2,9,3,12
2020 Q3,18,2,20
2020 Q4,11,1,12
2021 Q1,11,1,12
