Disposition Quarter,Deferred
2017 Q1,19
2017 Q2,25
2017 Q3,23
2017 Q4,28
2018 Q1,19
2018 Q2,19
2018 Q3,14
2018 Q4,28
2019 Q1,18
2019 Q2,16
2019 Q3,19
2019 Q4,17
2020 Q1,21
2020 Q2,12
2020 Q3,20
2020 Q4,12
2021 Q1,12
2021 Q2,18
2021 Q3,33
2021 Q4,11
2022 Q1,19
2022 Q2,21
2022 Q3,16
2022 Q4,31
2023 Q1,26
2023 Q2,20
2023 Q3,20
2023 Q4,11
2024 Q1,16
2024 Q2,22
