Filing Quarter,Number of violent cases filed involving a child victim
2017 Q1,26.0
2017 Q2,28.0
2017 Q3,29.0
2017 Q4,25.0
2018 Q1,33.0
2018 Q2,35.0
2018 Q3,36.0
2018 Q4,22.0
2019 Q1,23.0
2019 Q2,34.0
2019 Q3,33.0
2019 Q4,23.0
2020 Q1,35.0
2020 Q2,34.0
2020 Q3,24.0
2020 Q4,28.0
2021 Q1,37.0
2021 Q2,29.0
2021 Q3,27.0
2021 Q4,31.0
2022 Q1,35.0
2022 Q2,24.0
2022 Q3,30.0
2022 Q4,35.0
2023 Q1,37.0
