,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corrections,Prison
Sentences in 2025,1156,138,647,240,62,17,0,55
Change since 2024,-2.693602694,-20.23121387,18.06569343,14.83253589,-1.587301587,-5.555555556,-100,-16.66666667
