Disposition Year,Fine/Comm. Service,Time Served,Probation,Probation plus Jail,Jail
2019,445,131,598,234,79
2020,411,112,519,136,61
2021,526,167,506,134,56
2022,396,152,514,193,73
2023,363,114,383,239,50
2024,292,85,336,139,39
,,,,,
