Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2018 Q1,39,20,6,13
2018 Q2,39,14,9,19
2018 Q3,36,23,11,8
2018 Q4,34,29,1,9
2019 Q1,33,15,6,11
2019 Q2,39,27,2,17
2019 Q3,30,22,3,18
2019 Q4,27,30,9,9
2020 Q1,47,36,1,29
2020 Q2,24,31,3,11
2020 Q3,26,23,2,13
2020 Q4,24,15,4,15
2021 Q1,29,25,2,8
2021 Q2,21,12,5,17
2021 Q3,19,12,3,29
2021 Q4,28,21,1,31
2022 Q1,22,14,8,32
2022 Q2,22,21,5,20
2022 Q3,14,14,4,13
2022 Q4,18,19,6,7
2023 Q1,29,16,4,9
2023 Q2,21,19,7,18
2023 Q3,27,23,2,23
2023 Q4,27,17,3,15
2024 Q1,17,20,3,20
2024 Q2,13,15,6,14
2024 Q3,14,11,2,17
