Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,214,125,125,4,23,1229
2021,236,187,144,9,19,1280
2022,209,168,165,8,29,1401
2023,201,146,143,9,18,1207
2024,147,96,143,9,41,981
2025,108,80,140,4,20,909
