Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,724,490,148,8,20,1670
2021,917,1005,264,17,87,2679
2022,1115,1369,221,11,73,3354
2023,907,1150,349,10,103,3218
2024,878,923,371,15,85,2968
2025,794,961,394,11,92,3468
