Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
2017,1143,14,0,1,2,395,307
2018,1330,28,2,2,9,299,562
2019,988,30,2,14,3,407,350
2020,804,22,7,0,1,741,404
2021,587,18,4,1,0,1068,377
2022,590,9,3,0,0,936,302
2023,539,11,1,0,1,927,247
