Filing Quarter,Number of violent cases filed involving a child victim
2017 Q1,8
2017 Q2,3
2017 Q3,6
2017 Q4,8
2018 Q1,6
2018 Q2,7
2018 Q3,9
2018 Q4,12
2019 Q1,7
2019 Q2,8
2019 Q3,6
2019 Q4,11
2020 Q1,4
2020 Q2,7
2020 Q3,9
2020 Q4,5
2021 Q1,9
2021 Q2,11
2021 Q3,5
2021 Q4,11
2022 Q1,9
2022 Q2,16
2022 Q3,7
2022 Q4,13
2023 Q1,11
2023 Q2,7
2023 Q3,9
2023 Q4,5
2024 Q1,11
2024 Q2,5
