Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2019,78,97,70,8,8,585
2020,93,91,65,2,11,587
2021,159,132,75,1,14,531
2022,128,145,87,2,7,468
2023,115,113,78,1,3,429
2024,136,94,79,4,6,407
