Year,Prosecutors,IS/DATA,Legal Secretaries,Investigators,Victim Assistance,Other,Total Staff,"Percent of staff in clerical, paralegal, or general support positions"
2017,78,7,22,30,23,48,208,33.65384615
2018,83,8,24,31,23,46,215,32.55813953
2019,88,8,26,30,23,47,222,32.88288288
2020,98,9.5,26,33,28,53,250,31.6
2021,99,9.5,24,34,28,52,250,30.4
2022,102,9,26,33,29,56,257,31.90661479
