Year,Prosecutors,IS/DATA,Legal Secretaries,Investigators,Victim Assistance,Other,Total Staff,"Percent of staff in clerical, paralegal, or general support positions"
2017.0,78.0,7.0,22.0,30.0,23.0,48.0,208.0,33.65384615
2018.0,83.0,8.0,24.0,31.0,23.0,46.0,215.0,32.55813953
2019.0,88.0,8.0,26.0,30.0,23.0,47.0,222.0,32.88288288
2020.0,98.0,9.5,26.0,33.0,28.0,53.0,250.0,31.6
2021.0,99.0,9.5,24.0,34.0,28.0,52.0,250.0,30.4
2022.0,102.0,9.0,26.0,33.0,29.0,56.0,257.0,31.90661479
