Filing Quarter,Number of violent cases filed per quarter
2017 Q1,194
2017 Q2,182
2017 Q3,203
2017 Q4,201
2018 Q1,200
2018 Q2,209
2018 Q3,217
2018 Q4,190
2019 Q1,182
2019 Q2,176
2019 Q3,233
2019 Q4,194
2020 Q1,213
2020 Q2,212
2020 Q3,228
2020 Q4,175
2021 Q1,224
2021 Q2,213
2021 Q3,219
2021 Q4,182
2022 Q1,187
2022 Q2,181
2022 Q3,209
2022 Q4,194
2023 Q1,232
2023 Q2,204
2023 Q3,247
2023 Q4,213
2024 Q1,237
2024 Q2,238
2024 Q3,221
2024 Q4,234
2025 Q1,212
