Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2017.0,434.0,235.0,404.0,9.0,29.0,2063.0
2018.0,650.0,343.0,415.0,9.0,26.0,2485.0
2019.0,727.0,457.0,514.0,27.0,34.0,3521.0
2020.0,1030.0,498.0,425.0,13.0,34.0,2435.0
2021.0,1235.0,733.0,678.0,26.0,38.0,2871.0
2022.0,1213.0,671.0,845.0,17.0,44.0,2854.0
2023.0,258.0,121.0,192.0,7.0,8.0,702.0
