Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,143,141,239,2,14,1092
2021,157,212,312,10,28,1197
2022,157,223,265,9,22,1233
2023,192,133,266,5,33,1233
2024,165,131,308,6,23,1288
2025,153,109,265,3,19,1056
