,Felony,Misdemeanor,Violent Offense
Cases Resolved 2021,1907,5550,261
Change since 2020,21.2,28.7,30.5
,,,
Cases Resolved Quarter 3 2022,352,1088,50
Change since Quarter 3 2021,-37.2,-26.4,-39
