Year,Line Prosecutor,Leadership Prosecutor,IT/Data analytics,"Clerical, Paralegal, General Support",VWS,Investigator/Officer,Diversion,PIO,Total Staff,"Percent of staff in clerical, paralegal, or general support positions"
2016,57,12,4,46,21,28,11,2,181,25.41436464
2017,58,12,4,46,21,25,11,2,179,25.69832402
2018,61,12,5,44,22,24,11,2,181,24.30939227
2019,59,10,4,42,24,20,8,2,169,24.85207101
2020,64,12,3,43,24,19,8,2,175,24.57142857
