Year,Line Prosecutor,Leadership Prosecutor,IT/Data analytics,"Clerical, Paralegal, General Support",VWS,Investigator/Officer,Diversion,PIO,Total Staff,"Percent of staff in clerical, paralegal, or general support positions"
2016,57,12,4,46,21,28,11,2,124,37.09677419
2017,58,12,4,46,21,25,11,2,121,38.01652893
2018,61,12,5,44,22,24,11,2,120,36.66666667
2019,59,10,4,42,24,20,8,2,110,38.18181818
2020,64,12,3,43,24,19,8,2,111,38.73873874
