Filing Quarter,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,53.9600,69.6098
2017 Q2,59.5208,63.2558
2017 Q3,52.9057,62.4762
2017 Q4,59.2857,66.7800
2018 Q1,73.3973,87.8200
2018 Q2,58.2000,82.2917
2018 Q3,58.6716,78.3556
2018 Q4,61.1343,85.0682
2019 Q1,54.8429,78.3673
2019 Q2,62.1667,75.8039
2019 Q3,56.6250,66.6364
2019 Q4,47.9600,70.0377
2020 Q1,51.0244,68.9388
2020 Q2,39.6571,55.9756
2020 Q3,40.2105,53.1489
2020 Q4,45.7465,52.1190
2021 Q1,47.1268,61.8980
2021 Q2,66.6667,67.2941
2021 Q3,67.2813,83.3721
2021 Q4,61.9310,86.0000
2022 Q1,62.5517,94.9535
2022 Q2,53.5345,79.6136
2022 Q3,60.2909,67.4043
2022 Q4,64.9811,71.5417
2023 Q1,65.3137,71.7391
2023 Q2,67.8776,78.1818
2023 Q3,71.9796,66.6957
2023 Q4,74.1304,75.6047
2024 Q1,99.3415,95.0488
2024 Q2,101.8684,114.0811
2024 Q3,132.1818,125.9000
2024 Q4,124.6667,93.7000
2025 Q1,125.7586,80.0370
2025 Q2,125.1034,112.4000
2025 Q3,145.1852,113.3333
2025 Q4,138.8750,108.1923
