Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2017,835,238,690,5,46,978
2018,799,245,645,8,37,942
2019,851,294,605,6,48,961
2020,521,222,501,3,45,639
2021,564,343,599,3,23,793
2022,420,187,506,3,20,594
