Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,466,262,499,2,28,630
2021,518,389,598,3,22,794
2022,488,321,694,5,28,752
2023,497,365,617,3,22,745
2024,581,373,686,4,45,733
2025,609,381,659,3,22,701
