Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,66,65,79,0,4,271
2021,60,55,96,2,5,285
2022,57,44,96,1,5,247
2023,63,44,93,1,8,253
2024,56,37,128,1,15,218
2025,67,39,108,0,14,229
