Disposition Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,6613,2063,4236
2018,6147,2320,4452
2019,6214,2591,4395
2020,4745,2560,3676
2021,4931,3082,3815
2022,4121,2428,2759
2023,4144,2198,2652
2024,4270,2360,2702
2025,4253,2314,2768
