Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,191,46,66,0,19,52
2021,175,84,74,0,10,85
2022,132,84,77,1,4,76
2023,405,167,127,1,11,206
2024,440,216,180,3,20,338
2025,286,218,59,3,17,323
