Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,28,21,36,1,18,88
2021,28,32,24,2,17,121
2022,40,43,44,0,21,112
2023,32,39,32,1,12,113
2024,50,37,46,1,17,124
2025,24,24,27,1,6,113
