Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2017.0,275.0,174.0,395.0,28.0,90.0,3886.0
2018.0,286.0,157.0,438.0,21.0,71.0,4093.0
2019.0,326.0,159.0,479.0,36.0,88.0,4037.0
2020.0,347.0,193.0,411.0,10.0,46.0,2541.0
2021.0,432.0,182.0,417.0,23.0,51.0,2957.0
2022.0,371.0,194.0,474.0,17.0,61.0,3014.0
2023.0,104.0,40.0,112.0,3.0,16.0,862.0
