Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,364,193,392,10,45,2536
2021,456,187,397,23,50,2986
2022,429,205,449,18,62,3097
2023,450,179,409,8,65,3189
2024,463,147,448,18,71,3013
2025,447,167,422,26,92,2688
