Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,1220,332,423,20,72,5681
2021,2109,681,512,39,90,8192
2022,2294,1097,565,34,97,8128
2023,2582,893,526,40,120,7565
2024,2784,862,581,36,138,7734
2025,6781,1095,414,44,95,8968
