Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,43,83,126,34.12698413,122,398,520,23.46153846
2017 Q2,46,90,136,33.82352941,110,426,536,20.52238806
2017 Q3,52,104,156,33.33333333,97,367,464,20.90517241
2017 Q4,55,94,149,36.91275168,123,389,512,24.0234375
2018 Q1,54,113,167,32.33532934,125,477,602,20.7641196
2018 Q2,56,131,187,29.94652406,123,459,582,21.13402062
2018 Q3,44,129,173,25.43352601,136,480,616,22.07792208
2018 Q4,50,129,179,27.93296089,113,410,523,21.60611855
2019 Q1,27,163,190,14.21052632,147,542,689,21.33526851
2019 Q2,41,130,171,23.97660819,138,520,658,20.97264438
2019 Q3,56,137,193,29.01554404,142,535,677,20.97488922
2019 Q4,33,148,181,18.2320442,107,497,604,17.71523179
2020 Q1,38,118,156,24.35897436,107,406,513,20.85769981
2020 Q2,14,93,107,13.08411215,47,237,284,16.54929577
2020 Q3,16,133,149,10.73825503,87,437,524,16.60305344
2020 Q4,19,101,120,15.83333333,85,467,552,15.39855072
2021 Q1,13,93,106,12.26415094,94,447,541,17.37523105
2021 Q2,16,92,108,14.81481481,81,438,519,15.60693642
2021 Q3,17,101,118,14.40677966,102,490,592,17.22972973
2021 Q4,20,72,92,21.73913043,91,465,556,16.36690647
2022 Q1,13,72,85,15.29411765,96,486,582,16.49484536
2022 Q2,19,69,88,21.59090909,97,485,582,16.66666667
2022 Q3,9,55,64,14.0625,98,472,570,17.19298246
2022 Q4,21,71,92,22.82608696,117,397,514,22.76264591
2023 Q1,13,71,84,15.47619048,106,416,522,20.30651341
2023 Q2,18,76,94,19.14893617,109,421,530,20.56603774
2023 Q3,18,77,95,18.94736842,121,411,532,22.7443609
2023 Q4,13,57,70,18.57142857,119,467,586,20.30716724
2024 Q1,14,64,78,17.94871795,124,475,599,20.70116861
2024 Q2,18,64,82,21.95121951,128,512,640,20
2024 Q3,13,64,77,16.88311688,118,405,523,22.56214149
2024 Q4,13,42,55,23.63636364,69,286,355,19.43661972
