Disposition Year,Time Served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2017.0,2.0,564.0,181.0,5.0,353.0,22.0,368.0
2018.0,3.0,706.0,195.0,5.0,313.0,11.0,422.0
2019.0,3.0,736.0,198.0,9.0,291.0,16.0,385.0
2020.0,4.0,528.0,145.0,9.0,216.0,21.0,287.0
2021.0,2.0,418.0,148.0,5.0,202.0,18.0,269.0
2022.0,1.0,325.0,106.0,7.0,185.0,9.0,292.0
2023.0,0.0,68.0,21.0,2.0,25.0,0.0,57.0
