Disposition Year,Time Served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2020,4,527,146,9,215,21,288
2021,2,418,150,6,204,18,270
2022,2,326,106,7,196,9,303
2023,4,337,110,14,180,9,289
2024,3,320,117,10,165,7,232
2025,6,388,101,16,200,11,205
