Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,38.0,88.0,126.0,30.15873016,116.0,403.0,519.0,22.35067437
2017 Q2,42.0,94.0,136.0,30.88235294,105.0,431.0,536.0,19.58955224
2017 Q3,49.0,110.0,159.0,30.81761006,92.0,371.0,463.0,19.87041037
2017 Q4,51.0,98.0,149.0,34.22818792,117.0,392.0,509.0,22.98624754
2018 Q1,53.0,116.0,169.0,31.36094675,119.0,484.0,603.0,19.73466003
2018 Q2,49.0,141.0,190.0,25.78947368,112.0,470.0,582.0,19.24398625
2018 Q3,44.0,133.0,177.0,24.85875706,126.0,491.0,617.0,20.42139384
2018 Q4,49.0,133.0,182.0,26.92307692,100.0,423.0,523.0,19.12045889
2019 Q1,27.0,170.0,197.0,13.70558376,132.0,558.0,690.0,19.13043478
2019 Q2,44.0,129.0,173.0,25.43352601,124.0,536.0,660.0,18.78787879
2019 Q3,56.0,136.0,192.0,29.16666667,127.0,549.0,676.0,18.78698225
2019 Q4,34.0,150.0,184.0,18.47826087,92.0,504.0,596.0,15.43624161
2020 Q1,39.0,116.0,155.0,25.16129032,93.0,419.0,512.0,18.1640625
2020 Q2,16.0,92.0,108.0,14.81481481,40.0,243.0,283.0,14.13427562
2020 Q3,17.0,133.0,150.0,11.33333333,88.0,430.0,518.0,16.98841699
2020 Q4,19.0,101.0,120.0,15.83333333,78.0,470.0,548.0,14.23357664
2021 Q1,10.0,95.0,105.0,9.523809524,83.0,455.0,538.0,15.42750929
2021 Q2,14.0,93.0,107.0,13.08411215,77.0,437.0,514.0,14.98054475
2021 Q3,16.0,103.0,119.0,13.44537815,91.0,480.0,571.0,15.93695271
2021 Q4,18.0,75.0,93.0,19.35483871,88.0,448.0,536.0,16.41791045
2022 Q1,14.0,72.0,86.0,16.27906977,90.0,480.0,570.0,15.78947368
