,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,3001,555,2509,295,476,200,17,205
Change since 2024,18.66350336,25.28216704,1.33279483,-4.838709677,-0.209643606,20.48192771,-10.52631579,-12.01716738
