Filing Quarter,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,60.4,67.5
2017 Q2,59.4,69.8182
2017 Q3,58.1667,64.9231
2017 Q4,55.9286,70.2727
2018 Q1,46.7368,64.3846
2018 Q2,46.2778,56.5714
2018 Q3,48.0476,52
2018 Q4,43.4737,46.8824
2019 Q1,42.3889,50
2019 Q2,37.2273,48.1176
2019 Q3,46.0952,42.6842
2019 Q4,42.4706,49.5
2020 Q1,37,45.7333
2020 Q2,38.8421,37.8182
2020 Q3,40.087,46.125
2020 Q4,33.8333,51.0769
2021 Q1,46.2222,45.5625
2021 Q2,44.8667,50.7333
2021 Q3,68.5714,66.7692
2021 Q4,50.3077,78.7
2022 Q1,48.7857,64.75
2022 Q2,56.6154,78.3
2022 Q3,72.4,69.5
2022 Q4,72.0909,87.8889
2023 Q1,65.5833,94.7778
2023 Q2,67.1818,85.5556
2023 Q3,79.7778,86
2023 Q4,91.25,84.125
2024 Q1,76.3333,76.875
2024 Q2,93.625,119.6667
2024 Q3,73.1,117.6667
2024 Q4,75.2,65.1429
2025 Q1,72.5556,44.7778
2025 Q2,76.8889,81.75
2025 Q3,79.2,85.8889
2025 Q4,95.375,84.375
