Disposition Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,2666,669,865
2018,2862,741,968
2019,2671,894,992
2020,3118,877,992
2021,2804,980,1035
2022,2184,892,864
2023,2259,826,846
2024,2513,693,846
