Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,46,35,32,113
2017 Q2,44,27,40,111
2017 Q3,32,33,53,118
2017 Q4,31,23,31,85
2018 Q1,51,26,34,111
2018 Q2,46,25,30,101
2018 Q3,31,31,31,93
2018 Q4,41,18,22,81
2019 Q1,35,10,33,78
2019 Q2,42,17,33,92
2019 Q3,29,18,24,71
2019 Q4,48,23,14,85
2020 Q1,49,19,28,96
2020 Q2,49,19,27,95
2020 Q3,47,19,27,93
2020 Q4,46,19,23,88
2021 Q1,37,13,24,74
2021 Q2,43,15,22,80
2021 Q3,36,17,17,70
2021 Q4,34,8,11,53
2022 Q1,36,10,19,65
2022 Q2,32,11,16,59
2022 Q3,37,10,12,59
2022 Q4,23,10,18,51
2023 Q1,30,13,19,62
2023 Q2,21,9,8,38
2023 Q3,37,15,15,67
2023 Q4,32,9,10,51
2024 Q1,32,11,11,54
2024 Q2,47,11,7,65
2024 Q3,24,20,4,48
2024 Q4,29,11,9,49
