Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,1153.0,21.0,0.0,1174.0,1.788756388,531.0,476.0,1007.0,52.73088381
2017 Q2,1223.0,36.0,0.0,1259.0,2.859412232,528.0,461.0,989.0,53.38725986
2017 Q3,1342.0,38.0,1.0,1381.0,2.751629254,519.0,437.0,956.0,54.28870293
2017 Q4,1375.0,25.0,0.0,1400.0,1.785714286,553.0,469.0,1022.0,54.10958904
2018 Q1,1242.0,25.0,1.0,1268.0,1.971608833,531.0,471.0,1002.0,52.99401198
2018 Q2,1314.0,41.0,0.0,1355.0,3.025830258,594.0,518.0,1112.0,53.41726619
2018 Q3,1376.0,48.0,1.0,1425.0,3.368421053,539.0,486.0,1025.0,52.58536585
2018 Q4,1191.0,26.0,1.0,1218.0,2.134646962,566.0,460.0,1026.0,55.16569201
2019 Q1,1244.0,29.0,2.0,1275.0,2.274509804,562.0,489.0,1051.0,53.47288297
2019 Q2,1374.0,38.0,1.0,1413.0,2.689313517,594.0,483.0,1077.0,55.15320334
2019 Q3,1322.0,33.0,1.0,1356.0,2.433628319,549.0,430.0,979.0,56.07763023
2019 Q4,1395.0,32.0,1.0,1428.0,2.240896359,552.0,466.0,1018.0,54.22396857
2020 Q1,1231.0,31.0,1.0,1263.0,2.454473476,498.0,404.0,902.0,55.21064302
2020 Q2,1008.0,33.0,0.0,1041.0,3.170028818,186.0,204.0,390.0,47.69230769
2020 Q3,1085.0,70.0,0.0,1155.0,6.060606061,327.0,306.0,633.0,51.65876777
2020 Q4,1006.0,38.0,0.0,1044.0,3.639846743,347.0,315.0,662.0,52.41691843
2021 Q1,933.0,36.0,0.0,969.0,3.715170279,340.0,345.0,685.0,49.6350365
2021 Q2,1050.0,57.0,2.0,1109.0,5.139765555,385.0,341.0,726.0,53.03030303
2021 Q3,1117.0,56.0,0.0,1173.0,4.774083546,435.0,363.0,798.0,54.5112782
2021 Q4,1057.0,60.0,0.0,1117.0,5.371530886,415.0,384.0,799.0,51.93992491
2022 Q1,943.0,62.0,0.0,1005.0,6.169154229,411.0,372.0,783.0,52.49042146
2022 Q2,906.0,67.0,2.0,975.0,6.871794872,393.0,447.0,840.0,46.78571429
2022 Q3,1003.0,59.0,1.0,1063.0,5.550329257,340.0,381.0,721.0,47.15672677
2022 Q4,975.0,33.0,1.0,1009.0,3.270564916,303.0,429.0,732.0,41.39344262
2023 Q1,1079.0,40.0,4.0,1123.0,3.561887801,366.0,512.0,878.0,41.6856492
