Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,5213,158,5371,29,393,277,86,178,3883,4846,2.941724074,5.716054478
2018,5266,280,5546,21,427,295,70,158,4100,5071,5.048683736,5.817393019
2019,5463,394,5857,37,466,336,84,157,4051,5131,6.726993341,6.548431105
2020,4489,451,4940,10,392,362,45,193,2535,3537,9.129554656,10.23466214
2021,4364,680,5044,23,397,452,51,186,2969,4078,13.481364,11.08386464
2022,4056,546,4602,18,447,421,62,203,3079,4230,11.86440678,9.952718676
2023,4219,463,4682,8,406,448,66,177,3174,4279,9.888936352,10.46973592
2024,4159,621,4780,18,440,460,71,146,2992,4127,12.9916318,11.14611098
2025,1814,275,2089,12,192,253,42,98,1449,2046,13.16419339,12.3655914
