Disposition Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,9323,853,2002
2018,8768,1024,2095
2019,8904,1104,2119
2020,7685,1253,1993
2021,7489,1319,2048
2022,7207,1267,1999
2023,8507,1328,1975
2024,9373,1337,2198
