Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,9203,907,1386,27,160,398,97
2018,8742,961,1428,30,169,409,148
2019,8719,1042,1585,48,177,392,164
2020,7552,1000,1576,27,153,398,225
2021,7489,975,1677,21,131,404,159
2022,7442,964,1615,21,162,215,54
2023,8014,1164,2061,29,241,220,81
2024,8113,1152,2942,40,223,342,96
