Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,1022,466,1488,3,136,142,10,74,522,887,31.3172043,16.00901917
2018,957,557,1514,3,122,95,10,57,588,875,36.78996037,10.85714286
2019,948,423,1371,5,124,101,7,97,608,942,30.85339168,10.72186837
2020,995,312,1307,2,99,105,7,78,523,814,23.87146136,12.8992629
2021,909,278,1187,5,113,140,8,73,490,829,23.42038753,16.88781665
2022,760,240,1000,7,119,157,13,66,478,840,24,18.69047619
2023,669,202,871,4,91,151,15,55,358,674,23.19173364,22.40356083
2024,721,206,927,6,84,138,8,71,367,674,22.22222222,20.47477745
2025,676,97,773,3,108,96,15,42,311,575,12.54851229,16.69565217
