Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction ONLY
2017,3557,711,1443
2018,3325,748,1559
2019,3090,840,1731
2020,2599,933,1605
2021,2689,1019,1765
2022,2317,930,1589
2023,2346,830,1390
2024,2485,814,1465
2025,2574,760,1471
