Disposition Year,Conviction,No Conviction,Total
2017.0,15.0,4.0,19.0
2018.0,16.0,8.0,24.0
2019.0,12.0,8.0,20.0
2020.0,11.0,2.0,13.0
2021.0,13.0,8.0,21.0
2022.0,19.0,16.0,35.0
