Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
2020,436,7,34,4,0,439,464
2021,448,6,161,1,2,661,385
2022,667,12,79,7,3,685,324
2023,517,10,105,5,2,650,506
2024,450,12,58,4,2,875,265
2025,438,6,2,3,2,858,191
