Disposition Quarter,Number of cases resulting in conviction,Number of cases resulting in no conviction,Total Cases Disposed,Percent of cases resulting in conviction
2017.0,9.0,8.0,17.0,52.94117647
2018.0,7.0,8.0,15.0,46.66666667
2019.0,12.0,9.0,21.0,57.14285714
2020.0,9.0,6.0,15.0,60.0
2021.0,13.0,16.0,29.0,44.82758621
2022.0,11.0,21.0,32.0,34.375
